scientific_name,common_name_th,common_name_en,category,care_level,origin_country,indoor_suitable,export_popular,rare,trending
Hoya carnosa,ฮอยคาโนซา,Wax Plant (Hoya carnosa),ไม้เลื้อย-ไม้แขวน,ง่าย,เอเชียตะวันออกเฉียงใต้,True,True,False,True
Hoya kerrii,ฮอยเคอร์รีอี (ใบหัวใจ),Hoya kerrii (Sweetheart Hoya),ไม้แขวน,ง่าย,เอเชียตะวันออกเฉียงใต้,True,True,False,True
Epipremnum aureum,พลูด่าง,Golden Pothos,ไม้เลื้อยในร่ม,ง่าย,โซโลมอน/อินโดฯ,True,True,False,True
Philodendron hederaceum,ฟิโลเดนดรอน เฮเดอเรเซียม,Heartleaf Philodendron,ไม้เลื้อยในร่ม,ง่าย,อเมริกากลาง,True,True,False,True
Ficus lyrata,ยางอินเดียใบเขียว (ไทรใบสัก),Fiddle Leaf Fig,ไม้ประดับในร่ม,ปานกลาง,แอฟริกาตะวันตก,True,True,False,False
Ficus elastica,ยางอินเดีย,Rubber Plant,ไม้ประดับในร่ม,ง่าย,เอเชียตะวันออกเฉียงใต้,True,True,False,False
Dracaena trifasciata,ลิ้นมังกร,Snake Plant,ไม้ทนแห้งในร่ม,ง่าย,แอฟริกา,True,True,False,False
Zamioculcas zamiifolia,กวักมรกต,ZZ Plant,ไม้ทนแห้งในร่ม,ง่าย,แอฟริกา,True,True,False,False
Spathiphyllum wallisii,เดหลี,Peace Lily,ไม้ใบดอกในร่ม,ง่าย,อเมริกาใต้,True,True,False,False
Chlorophytum comosum,เจ้าบ้านต้องรับ,Spider Plant,ไม้แขวนในร่ม,ง่าย,แอฟริกาใต้,True,True,False,False
Pilea peperomioides,ก้านกล้วยจีน (เหรียญเงิน),Chinese Money Plant,ไม้ในร่ม,ปานกลาง,จีน,True,True,False,False
Peperomia obtusifolia,เพเพโรเมีย ใบกลม,Baby Rubber Plant,ไม้กระถางในร่ม,ง่าย,อเมริกากลาง,True,True,False,False
Dieffenbachia seguine,ด่างทับทิม (เดฟเฟนบาเคีย),Dieffenbachia,ไม้ใบในร่ม,ง่าย,อเมริกาใต้,True,True,False,False
Aglaonema commutatum,อโกลนีมา (ว่านเงินไหลมา),Chinese Evergreen,ไม้ใบในร่ม,ง่าย,ฟิลิปปินส์-มาเลย์,True,True,False,False
Bougainvillea glabra,เฟื่องฟ้า,Bougainvillea,ไม้ดอกกลางแจ้ง,ง่าย,บราซิล,False,False,False,False
Hibiscus rosa-sinensis,ชบา,Chinese Hibiscus,ไม้ดอกกลางแจ้ง,ง่าย,เอเชียเขตร้อน,False,False,False,False
Murraya paniculata,แก้ว,Orange Jasmine,ไม้พุ่มหอม,ง่าย,เอเชียตะวันออกเฉียงใต้,False,False,False,False
Jasminum sambac,มะลิ,Arabian Jasmine,ไม้ดอกหอม,ปานกลาง,เอเชียใต้,False,False,False,False
Ixora coccinea,เข็มแดง,Jungle Geranium,ไม้พุ่มดอก,ง่าย,เอเชียเขตร้อน,False,False,False,False
Tabernaemontana divaricata,พุดศุภโชค (ดอกพุดซ้อน),Crape Jasmine,ไม้พุ่มหอม,ง่าย,เอเชียใต้-อีสานร้อนชื้น,False,False,False,False
Plumeria rubra,ลีลาวดี/พลูเมเรีย,Frangipani,ไม้ดอกหอม,ง่าย,อเมริกากลาง,False,False,False,False
Michelia alba,พิกุล/ดอกปีบ (Magnolia × alba),White Champaca (Magnolia),ไม้ดอกหอม,ปานกลาง,เอเชียตะวันออกเฉียงใต้,False,False,False,False
Adenium obesum,ชวนชม,Desert Rose,ไม้ดอกร้อยยอด/ไม้อวบน้ำ,ง่าย,แอฟริกา,False,True,False,False
Codiaeum variegatum,โกสน,Croton,ไม้พุ่มใบสี,ง่าย,เอเชียตะวันออกเฉียงใต้,False,False,False,False
Cordyline fruticosa,เทียนหยดใบสี (โกสนฮาวาย),Ti Plant,ไม้พุ่มใบสี,ง่าย,แปซิฟิกเขตร้อน,False,False,False,False
Dypsis lutescens,หมากเหลือง,Areca Palm,ปาล์ม/แนวฉาก,ง่าย,มาดากัสการ์,True,True,False,False
Rhapis excelsa,ปาล์มไผ่,Lady Palm,ปาล์มในร่ม,ปานกลาง,จีนใต้,True,True,False,False
Chamaedorea elegans,ปาล์มหมากเต็กซ์ (ปาล์มไผ่เล็ก),Parlor Palm,ปาล์มในร่ม,ง่าย,เม็กซิโก,True,True,False,False
Phoenix roebelenii,อินทผาลัมประดับ,Pygmy Date Palm,ปาล์มกลางแจ้ง,ปานกลาง,เอเชียตะวันออกเฉียงใต้,False,True,False,False
Caryota mitis,คาริโอตา (ปาล์มหางปลา),Fishtail Palm,ปาล์มกลางแจ้ง,ปานกลาง,เอเชียตะวันออกเฉียงใต้,False,True,False,False
Cycas revoluta,สาคูญี่ปุ่น (ปรงญี่ปุ่น),Sago Palm (not a palm),ไม้โบราณ/โครงสร้าง,ปานกลาง,ญี่ปุ่น,False,True,False,False
Ophiopogon japonicus,เลี่ยนญี่ปุ่น (มุนหญ้า),Mondo Grass,ไม้คลุมดิน/แนวขอบ,ง่าย,เอเชียตะวันออก,False,False,False,False
Alternanthera ficoidea,เทียนทองใบกลม (สีใบ),Alternanthera,ไม้คลุมดิน/สีใบ,ง่าย,อเมริกาใต้,False,False,False,False
Sphagneticola trilobata,เทียนหม่น/สายทอง (Wedelia),Creeping Daisy,ไม้คลุมดิน,ง่าย,อเมริกากลาง,False,False,False,False
Zoysia matrella,หญ้าเซนต์อูกัสติน/ซอยเซีย (นวลน้อย),Zoysia Grass,หญ้าสนาม,ปานกลาง,เอเชียตะวันออกเฉียงใต้,False,False,False,False
Thunbergia grandiflora,อัญชันเถาใหญ่ (พวงครามอินเดีย),Bengal Clockvine,ไม้เถาดอก,ง่าย,อินเดีย,False,False,False,False
Combretum indicum,รางจืดแดง/เล็บมือนาง,Rangoon Creeper,ไม้เถาดอกหอม,ง่าย,เอเชียใต้,False,False,False,False
Clerodendrum thomsoniae,พวงครามแดง (สาวสันทราย),Bleeding Heart Vine,ไม้เถาดอก,ปานกลาง,แอฟริกาตะวันตก,False,False,False,False
Ficus microcarpa,ไทรเกาหลี (ไทรใบเล็ก),Indian Laurel (Hedge),ไม้แนวรั้ว/ไม้พุ่มสูง,ง่าย,เอเชียเขตร้อน,False,False,False,False
Buxus microphylla,ชาฮกเกี้ยน (บ๊อกซ์วูดเอเชีย),Littleleaf Boxwood,ไม้ดัด/แนวขอบ,ปานกลาง,ญี่ปุ่น-จีน,False,False,False,False
Podocarpus macrophyllus,สนฉนวน/สนพันธุ์ตีนเป็ด,Buddhist Pine,ไม้พุ่ม-ไม้ยืนต้น,ปานกลาง,จีน-ญี่ปุ่น,False,True,False,False
Platycladus orientalis,สนไซเปรสจีน (Thuja orientalis),Oriental Arborvitae,ไม้แนวรั้ว/โครงสร้าง,ปานกลาง,จีน,False,True,False,False
Anthurium clarinervium,แอนธูเรียม คลาริเนอวิอุม,Anthurium clarinervium,ไม้ใบสะสม,ยาก,เม็กซิโก,True,True,True,True
Anthurium warocqueanum,แอนธูเรียม วาโรกีอานุม (ควีน),Queen Anthurium,ไม้ใบสะสม,ยาก,โคลอมเบีย,True,True,True,True
Philodendron gloriosum,ฟิโลเดนดรอน กลอริโอซัม,Philodendron gloriosum,ไม้ใบสะสม,ปานกลาง,โคลอมเบีย,True,True,True,True
Philodendron melanochrysum,ฟิโลเดนดรอน เมลาโนคริสซัม,Black Gold Philodendron,ไม้ใบสะสม,ปานกลาง,โคลอมเบีย,True,True,True,True
Caladium bicolor,บอนสี,Caladium,ไม้ใบสี,ง่าย,อเมริกาใต้ (ปลูกในไทย),True,True,False,True
Begonia rex-cultorum,บีโกเนีย เร็กซ์,Rex Begonia,ไม้ใบสี,ปานกลาง,ลูกผสม,True,True,False,True
Tradescantia zebrina,สาวน้อยประแป้ง (ไทรใบเงิน),Wandering Jew,ไม้เลื้อยคลุม/แขวน,ง่าย,เม็กซิโก,True,True,False,True
Strelitzia nicolai,กล้วยนกยูงขาว,Giant White Bird of Paradise,ไม้ประดับสไตล์ทรอปิคอล,ปานกลาง,แอฟริกาใต้,True,True,False,True
Strelitzia reginae,ปักษาสวรรค์,Bird of Paradise,ไม้ดอกทรอปิคอล,ปานกลาง,แอฟริกาใต้,False,True,False,True
Schefflera arboricola,หนวดปลาหมึกแคระ/ช้อฟเฟลอรา,Dwarf Umbrella Tree,ไม้พุ่มในร่ม/กลางแจ้ง,ง่าย,ไต้หวัน-จีนใต้,True,True,False,False
Nandina domestica,นานดินา (ไม้ใบสีแดง),Heavenly Bamboo,ไม้พุ่มใบสี,ปานกลาง,จีน-ญี่ปุ่น,False,True,False,False
Pandanus amaryllifolius,เตยหอม,Pandan,พืชอรรถประโยชน์/ประดับ,ง่าย,เอเชียตะวันออกเฉียงใต้,False,True,False,False
Salvia rosmarinus,โรสแมรี่,Rosemary,สมุนไพร/ประดับ,ปานกลาง,ภูมิภาคเมดิเตอร์เรเนียน,False,True,False,False
Ocimum basilicum,โหระพา,Sweet Basil,สมุนไพร/ประดับ,ง่าย,เอเชียใต้,False,False,False,False
Mentha spicata,สะระแหน่,Spearmint,สมุนไพร/ประดับ,ง่าย,ยุโรป-เอเชีย,False,False,False,False
Heliconia rostrata,เฮลิโคเนีย ปีกนก,Lobster Claw,ไม้ดอกทรอปิคอล,ปานกลาง,อเมริกากลาง,False,True,False,False
Alpinia zerumbet,ข่าแดง (ช้างเผือกลวดลาย),Shell Ginger,ไม้ดอก-ใบลาย,ง่าย,เอเชียตะวันออก,False,True,False,False
Cordyline australis,คอร์ดิลไลน์ ออสตราลิส,Cabbage Tree (ornamental),ไม้ใบสี/สถาปัตย์,ปานกลาง,นิวซีแลนด์,False,True,False,False
Dracaena fragrans,วาสนา,Corn Plant,ไม้ใบประดับ,ง่าย,แอฟริกา,True,True,False,False
Nephrolepis exaltata,เฟิร์นบอสตัน,Boston Fern,เฟิร์นในร่ม,ปานกลาง,เขตร้อนทั่วโลก,True,True,False,False
Asplenium nidus,เฟิร์นข้าหลวง,Bird's Nest Fern,เฟิร์นในร่ม/กลางแจ้งร่มรำไร,ง่าย,เอเชียตะวันออกเฉียงใต้,True,True,False,False
